roi_id,date_init,date_last,area_init,area_last,abs_pct_change,object_id,centroid_lat,centroid_lon
28,2016-05-29,2024-05-22,1202,1233,2.579034941763727,3,199,272
28,2016-05-29,2024-05-27,209,213,1.9138755980861244,4,233,604
30,2016-05-29,2024-05-27,6887,6825,0.9002468418759982,1,51,155
30,2016-05-29,2024-05-27,2763,2790,0.9771986970684038,2,233,18
31,2016-05-29,2024-05-27,491,518,5.498982,2,133,81
31,2016-05-29,2024-05-27,213,222,4.225352,3,79,447
32,2016-05-29,2024-05-27,1121,1151,2.6761819803746656,2,54,27
33,2016-05-29,2024-05-12,1222,1202,1.6366612111292964,1,418,179
34,2016-05-29,2024-05-27,6196,6105,1.468689,1,288,82
35,2016-05-29,2024-05-22,5294,5497,3.834529656214584,1,399,83
35,2016-05-29,2024-05-22,3950,3968,0.4556962025316456,2,237,296
35,2016-05-29,2024-05-22,1602,1620,1.1235955056179776,3,117,394
35,2016-05-29,2024-05-22,453,460,1.545253863134658,5,56,256
35,2016-05-29,2024-05-27,417,442,5.995203836930456,6,197,434
35,2016-05-29,2024-05-27,318,305,4.088050314465408,7,67,448
35,2016-05-29,2024-05-27,289,284,1.7301038062283738,8,143,165
35,2016-05-29,2024-05-22,195,204,4.615384615384616,9,154,417
36,2016-05-29,2024-05-22,2319,2311,0.344976282880552,1,317,590
37,2016-06-18,2024-06-06,410,429,4.634146341463414,1,575,3
38,2016-06-18,2024-06-06,5119,5225,2.070716936901739,1,586,568
39,2017-06-13,2024-06-06,387,386,0.2583979328165375,2,505,160
41,2016-05-29,2024-05-27,2845,2918,2.565905096660809,1,270,125
41,2016-05-29,2024-05-12,1210,1291,6.694214876033058,2,387,35
41,2016-05-29,2024-05-27,865,931,7.630057803468208,3,119,456
41,2016-05-29,2024-05-27,607,626,3.130148270181219,4,37,493
41,2016-05-29,2024-05-27,537,569,5.95903165735568,5,135,487
41,2016-05-29,2024-05-27,440,469,6.59090909090909,6,299,38
41,2016-05-29,2024-05-27,299,297,0.6688963210702341,7,362,581
41,2016-05-29,2024-05-27,240,261,8.75,8,164,460
41,2016-05-29,2024-05-12,121,111,8.264462809917356,9,159,436
42,2016-05-29,2024-05-12,3174,3231,1.7958412098298675,1,360,195
42,2016-05-29,2024-06-06,1638,1646,0.4884004884004884,2,379,31
42,2016-05-29,2024-05-27,836,825,1.3157894736842104,3,55,123
42,2016-05-29,2024-05-27,271,273,0.7380073800738007,4,122,116
43,2016-05-29,2024-05-27,2216,2237,0.947653429602888,2,212,311
43,2016-05-29,2024-05-27,2166,2168,0.0923361034164358,3,457,562
43,2016-05-29,2024-05-22,417,430,3.117505995203837,4,366,507
45,2016-05-29,2024-05-22,1604,1620,0.997506234413965,1,240,63
45,2016-05-29,2024-05-27,1141,1135,0.5258545135845749,2,35,18
45,2016-05-29,2024-05-27,580,611,5.344827586206897,3,579,253
45,2016-05-29,2024-05-27,544,552,1.4705882352941175,4,291,11
45,2016-05-29,2024-05-12,186,193,3.763440860215054,5,193,290
45,2016-05-29,2024-05-22,160,157,1.875,6,353,493
45,2016-05-29,2024-05-12,139,135,2.877697841726619,7,125,322
45,2016-05-29,2024-05-22,97,96,1.0309278350515465,8,312,473
47,2016-06-18,2024-06-06,3371,3425,1.601898546425393,1,108,183
47,2016-06-18,2024-06-06,1117,1127,0.8952551477170994,2,172,252
48,2016-06-18,2024-06-06,2956,2970,0.473613,1,179,122
48,2016-06-18,2024-06-06,5857,5928,1.212225,2,168,430
48,2016-06-18,2024-06-06,7132,7042,1.261918,3,22,528
49,2016-05-29,2024-05-27,1686,1643,2.550415183867141,2,29,63
49,2016-05-29,2024-05-22,1191,1289,8.228379513014273,3,551,167
51,2016-05-29,2024-09-14,1191,1235,3.6943744752308985,1,353,62
